pipeline_id,cluster,request_received,original_start_date,request_type,client_priority,client,engagement_manager,likely_start_date,start_date_confirmed,number_of_weeks_raw,deal_stage,solution,priority,status,resources_requested_raw,pct_raw,skillset,sow_signed_raw,comments,canonical_role,allocation_pct,sow_signed,demand_bucket,duration_weeks,likely_end_date
PIPE_0001,3,17-02-2026,20-04-2026,New,Gold,Sigma,XYXY,06-07-2026,No,11,Scoping Approval,Value Creation,Medium,Not Resourced,P,25,,No,It isn't solidified yet but requires very specific skillsets. I have pre-emptively engaged with CoE leads and Cluster leads of the required personnel - from Chris,Principal,25.0,False,speculative,11.0,21-09-2026
PIPE_0002,3,,20-04-2026,,,,,06-07-2026,,,,,Medium,Not Resourced,SC,50,,No,,Solution Consultant,50.0,False,speculative,16.0,26-10-2026
PIPE_0003,3,,20-04-2026,,,,,06-07-2026,,,,,Medium,Not Resourced,C,100,,No,,Consultant,100.0,False,speculative,16.0,26-10-2026
PIPE_0004,3,,20-04-2026,,,,,06-07-2026,,,,,Medium,Not Resourced,Sr Sol Con,75/100,"PII handling, Scalable execution environments, Incremental loads & CDC",No,Extensive snowflake experience is required,Senior Solution Consultant,100.0,False,speculative,16.0,26-10-2026
PIPE_0005,3,,20-04-2026,,,,,06-07-2026,,,,,Medium,Not Resourced,SSE,100,"Data preparation for  decision making report, Anomaly detection, LTV (Life Time Value)",No,,Senior Software Engineer,100.0,False,speculative,16.0,26-10-2026
PIPE_0006,3,,20-04-2026,,,,,06-07-2026,,,,,Medium,Not Resourced,SE,100,"Industry Knowledge - Understanding of the specific industry or market, industry trends, challenges, and best practices., Communication Skills - Ability to present findings and insights to technical and non-technical stakeholders., Data Visualization Tools - Experience with BI tools like Tableau, Power BI, or QlikView.",No,,Software Engineer,100.0,False,speculative,16.0,26-10-2026
PIPE_0007,5,24-02-2026,20-04-2026,,Gold,Spidy,XYXY,06-07-2026,,,Signed,Due Diligence,Medium,Not Resourced,Enabler,12.5,"Pipeline design principles, Workspace, environment & compute management, Project scoping & planning",No,,Solutions Enabler,12.5,False,speculative,16.0,26-10-2026
PIPE_0008,5,,20-04-2026,,,,,06-07-2026,Yes,4,,,Medium,Not Resourced,Sol Con,50,"Programming Languages - Familiarity with scripting languages for automation., Problem-Solving Skills - Proficiency in identifying issues and developing solutions with creative thinking to approach problems from different angles., SQL Proficiency-Ability to write complex queries and optimize them for performance.",No,,Solution Consultant,50.0,False,speculative,4.0,03-08-2026
PIPE_0009,5,,20-04-2026,,,,,06-07-2026,,,,,Medium,Not Resourced,SE  ,100,"integrations, Network Security, Monitoring",No,,Software Engineer,100.0,False,speculative,16.0,26-10-2026
PIPE_0010,4,26-03-2026,20-04-2026,New,Other,FD,XYXY,06-07-2026,No,5,Build the Proposition,,High,Not Resourced,AP/P,37.5,,No,,Principal,37.5,False,speculative,5.0,10-08-2026
PIPE_0011,4,,20-04-2026,,,,,06-07-2026,,,,,High,Not Resourced,PA,25,,No,,Associate Partner,25.0,False,speculative,16.0,26-10-2026
PIPE_0012,4,,20-04-2026,,,,,06-07-2026,,,,,High,Not Resourced,SC (EM),50,,No,strong EM with Discovery & Design experience,Solution Consultant,50.0,False,speculative,16.0,26-10-2026
PIPE_0013,4,,20-04-2026,,,,,06-07-2026,,,,,High,Not Resourced,SAC,100,,No,strong SAC with Discovery & Design experience,Senior Associate Consultant,100.0,False,speculative,16.0,26-10-2026
