project_id,project_start_date,project_end_date,type_of_project,project_status,reporter_id,approver_id,CLIENT_ID,tech_coe,proposition_coe,is_active_project,is_overrunning,days_until_end,ramp_down_window,tech_coe_primary
CLIENT_1_005,08-03-2024,29-03-2024,Client Project,COMPLETE,EMP333,EMP479,CLIENT_1,,Due Diligence,False,False,-820,none,
CLIENT_2_004,05-01-2026,30-03-2026,Client Project,COMPLETE,EMP791,EMP904,CLIENT_2,Data Engineering,Managed Service,False,False,-89,none,Data Engineering
CLIENT_3_003,08-01-2024,27-02-2024,Client Project,COMPLETE,EMP306,EMP426,CLIENT_3,,Core Reporting,False,False,-851,none,
CLIENT_4_001,26-09-2022,23-12-2022,Client Project,COMPLETE,EMP696,EMP244,CLIENT_4,,,False,False,-1282,none,
CLIENT_5_006,23-11-2020,30-04-2021,Client Project,COMPLETE,EMP263,,CLIENT_5,,,False,False,-1884,none,
CLIENT_6_002,06-10-2025,17-11-2025,Client Project,PROPOSE,EMP346,EMP346,CLIENT_6,Data Science & ML,Value Creation,False,False,-222,none,Data Science & ML
CLIENT_7_001,08-06-2026,13-07-2026,Client Project,DEAL WON,EMP842,EMP529,CLIENT_7,Consulting,Data Advisory,True,False,16,30_days,Consulting
CLIENT_8_003,05-09-2022,31-01-2023,Client Project,COMPLETE,EMP696,EMP696,CLIENT_8,,,False,False,-1243,none,
CLIENT_9_243,28-01-2025,31-12-2026,Internal Project,COMPLETE,EMP252,EMP68,CLIENT_9,Data Science & ML,Value Creation,False,False,187,none,Data Science & ML
CLIENT_9_231,28-10-2024,31-01-2025,Internal Project,COMPLETE,EMP346,EMP535,CLIENT_9,,,False,False,-512,none,
CLIENT_10_008,02-06-2025,17-10-2025,Client Project,ACTIVE,EMP275,EMP288,CLIENT_10,BI and Reporting;Data Engineering,Core Reporting,True,True,-253,none,BI and Reporting
CLIENT_11_002,18-08-2025,14-11-2025,Client Project,COMPLETE,EMP346,EMP882,CLIENT_11,Data Engineering;BI and Reporting,Exit Support,False,False,-225,none,Data Engineering
CLIENT_12_013,01-09-2023,30-11-2023,Client Project,COMPLETE,EMP676,EMP676,CLIENT_12,,,False,False,-940,none,
CLIENT_13_003,28-12-2020,28-05-2021,Client Project,COMPLETE,EMP263,,CLIENT_13,,,False,False,-1856,none,
CLIENT_14_001,09-03-2026,18-05-2026,Client Project,ACTIVE,EMP314,EMP445,CLIENT_14,BI and Reporting,Exit Support,True,True,-40,none,BI and Reporting
