competency_id,employee_id,designation,coe,dimension_label,dimension_short,score,score_label
COMP_00001,EMP366,Solutions Enabler,Data Engineering,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,3,proficient
COMP_00002,EMP941,Solutions Enabler,Data Engineering,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00003,EMP528,Solutions Enabler,Techops & Automation,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00004,EMP603,Solutions Enabler,Full Stack,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,2,developing
COMP_00005,EMP1020,Solutions Enabler,Techops & Automation,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,3,proficient
COMP_00006,EMP933,Solutions Enabler,Data Engineering,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00007,EMP861,Solutions Enabler,Data Engineering,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00008,EMP451,Solutions Enabler,Data Science & AI,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,1,basic
COMP_00009,EMP468,Solutions Enabler,Data Science & AI,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,1,basic
COMP_00010,EMP456,Solutions Enabler,Full Stack,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00011,EMP190,Solutions Enabler,Full Stack,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00012,EMP594,Solutions Enabler,Full Stack,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00013,EMP1034,Solutions Enabler,Data Science & AI,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,4,advanced
COMP_00014,EMP6,Solutions Enabler,Techops & Automation,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00015,EMP662,Solutions Enabler,Techops & Automation,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,2,developing
COMP_00016,EMP239,Solutions Enabler,Techops & Automation,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00017,EMP673,Solutions Enabler,Data Science & AI,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00018,EMP90,Solutions Enabler,Data Engineering,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00019,EMP249,Solutions Enabler,Data Engineering,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00020,EMP702,Solutions Enabler,Data Science & AI,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00021,EMP531,Solutions Enabler,Data Engineering,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,1,basic
COMP_00022,EMP547,Solutions Enabler,Data Engineering,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00023,EMP386,Solutions Enabler,Data Engineering,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00024,EMP581,Solutions Enabler,Techops & Automation,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00025,EMP185,Solutions Enabler,Techops & Automation,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,2,developing
COMP_00026,EMP921,Solutions Enabler,Techops & Automation,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00027,EMP397,Solutions Enabler,Data Science & AI,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00028,EMP373,Solutions Enabler,Data Science & AI,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00029,EMP803,Solutions Enabler,Data Engineering,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00030,EMP623,Solutions Enabler,Techops & Automation,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,1,basic
COMP_00031,EMP1033,Solutions Enabler,Techops & Automation,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00032,EMP646,Solutions Enabler,Power BI & Consulting,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00033,EMP950,Solutions Enabler,Power BI & Consulting,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00034,EMP24,Solutions Enabler,Data Science & AI,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00035,EMP404,Solutions Enabler,Techops & Automation,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,4,advanced
COMP_00036,EMP271,Solutions Enabler,Data Engineering,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00037,EMP943,Solutions Enabler,Data Engineering,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00038,EMP189,Solutions Enabler,Data Engineering,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00039,EMP807,Solutions Enabler,Data Engineering,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00040,EMP498,Solutions Enabler,Power BI & Consulting,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,4,advanced
COMP_00041,EMP390,Solutions Enabler,Data Science & AI,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00042,EMP516,Solutions Enabler,Full Stack,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,2,developing
COMP_00043,EMP606,Solutions Enabler,Full Stack,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00044,EMP488,Solutions Enabler,Full Stack,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,3,proficient
COMP_00045,EMP614,Solutions Enabler,Full Stack,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,0,not_demonstrated
COMP_00046,EMP831,Solutions Enabler,Data Engineering,Demonstrates strong capability to manage and influence client stakeholders effectively across varying seniority levels,client_influence,3,proficient
